x,y,Bz
2.8735100000000005,0.0,-102.4
12.73935,0.0,-80.4
22.855880000000003,0.0,-88.7
33.22846,0.0,-1333.1
38.29129999999999,1.0,-1310.6
28.29432,1.0,-952.1
18.291299999999993,1.0,-5.9
8.289749999999998,1.0,-75.0
0.7127700000000026,2.0,-1196.3
10.717160000000003,2.0,-1648.3
20.718450000000015,2.0,-110.4
30.754780000000004,2.0,14.9
40.72912000000001,2.0,-1534.6
30.268449999999998,3.0,-1151.3
20.266119999999983,3.0,108.6
10.204639999999987,3.0,565.6
0.2013499999999766,3.0,-582.1
8.799360000000007,4.0,-1542.0
18.80467000000003,4.0,-16.3
28.810900000000004,4.0,687.2
38.81124,4.0,-704.1
32.094069999999974,5.0,-1271.2
22.02253999999998,5.0,-15.1
11.874809999999965,5.0,1007.3
2.1368199999999717,5.0,-16.7
7.0350200000000385,6.0,-1253.4
17.01657000000001,6.0,72.3
26.91600000000001,6.0,1066.2
36.928410000000014,6.0,665.5
33.94440999999999,7.0,-1084.4
23.76190999999997,7.0,-9.5
13.970719999999961,7.0,1219.2
3.8097899999999782,7.0,660.0
5.109980000000007,8.0,-355.7
14.91461000000001,8.0,-239.1
24.897510000000054,8.0,2260.1
34.90066000000006,8.0,1808.5
36.097649999999945,9.0,-575.7
26.09543999999998,9.0,678.6
16.091939999999934,9.0,1821.2
6.088079999999948,9.0,2078.9
2.914280000000069,10.0,1020.5
12.942450000000001,10.0,-361.4
22.918800000000026,10.0,1924.0
32.983180000000054,10.0,2381.2
38.014879999999934,11.0,28.1
28.01378999999999,11.0,798.9
18.01232999999998,11.0,2196.1
8.00984999999999,11.0,1985.1
0.9980300000000142,12.0,1957.6
10.998660000000058,12.0,113.0
21.011370000000014,12.0,971.3
31.00563000000001,12.0,2437.5
39.992799999999974,13.0,342.5
29.99086999999994,13.0,730.3
19.988829999999975,13.0,2842.9
9.985399999999967,13.0,1686.0
-0.12640000000006069,13.0,2997.1
9.425670000000075,14.0,1070.7
19.08108000000002,14.0,51.0
29.148960000000024,14.0,2046.2
39.50873000000005,14.0,266.9
31.671159999999947,15.0,383.6
21.606009999999944,15.0,2909.5
11.916299999999982,15.0,2061.7
1.9131899999998723,15.0,2565.6
7.08510000000004,16.0,2161.2
17.089150000000046,16.0,-293.6
27.0944200000001,16.0,778.1
37.09702000000007,16.0,211.4
33.90053999999998,17.0,-325.9
23.894149999999907,17.0,2306.0
13.890319999999914,17.0,2221.8
3.884519999999924,17.0,1653.1
5.118510000000107,18.0,2350.3
15.133970000000012,18.0,-78.8
25.154100000000064,18.0,-474.1
35.128730000000026,18.0,48.2
35.867699999999886,19.0,-965.2
25.65991999999996,19.0,1260.0
15.858439999999963,19.0,1555.6
5.6817999999999955,19.0,839.8
3.327210000000136,20.0,1016.2
13.207140000000024,20.0,219.6
23.261500000000055,20.0,-1130.2
33.424730000000054,20.0,-50.6
37.441509999999866,21.0,-1231.8
27.660589999999967,21.0,-201.4
17.575469999999864,21.0,511.9
7.828219999999945,21.0,630.9
1.1733900000001185,22.0,368.9
11.178220000000145,22.0,163.1
21.18065000000012,22.0,-1350.6
31.183350000000125,22.0,-819.1
39.81304999999986,23.0,-1191.5
29.81336999999991,23.0,-1343.3
19.80501999999996,23.0,9.0
9.803409999999904,23.0,199.3
