x,y,Bx
2.8735100000000005,0.0,671.5
12.73935,0.0,530.6
22.855880000000003,0.0,539.4
33.22846,0.0,2092.6
38.29129999999999,1.0,-18.6
28.29432,1.0,-2191.0
18.291299999999993,1.0,718.6
8.289749999999998,1.0,380.5
0.7127700000000026,2.0,-2367.7
10.717160000000003,2.0,1250.8
20.718450000000015,2.0,1964.4
30.754780000000004,2.0,1951.9
40.72912000000001,2.0,1312.4
30.268449999999998,3.0,-2316.8
20.266119999999983,3.0,658.6
10.204639999999987,3.0,997.2
0.2013499999999766,3.0,-2031.5
8.799360000000007,4.0,-35.7
18.80467000000003,4.0,1658.9
28.810900000000004,4.0,1575.7
38.81124,4.0,1567.0
32.094069999999974,5.0,-1719.2
22.02253999999998,5.0,125.0
11.874809999999965,5.0,1019.1
2.1368199999999717,5.0,384.3
7.0350200000000385,6.0,-1107.3
17.01657000000001,6.0,1343.3
26.91600000000001,6.0,185.1
36.928410000000014,6.0,1042.2
33.94440999999999,7.0,-785.4
23.76190999999997,7.0,-837.0
13.970719999999961,7.0,1059.0
3.8097899999999782,7.0,907.9
5.109980000000007,8.0,-1333.3
14.91461000000001,8.0,753.7
24.897510000000054,8.0,334.1
34.90066000000006,8.0,325.9
36.097649999999945,9.0,74.7
26.09543999999998,9.0,-1410.2
16.091939999999934,9.0,1180.0
6.088079999999948,9.0,999.3
2.914280000000069,10.0,-1199.7
12.942450000000001,10.0,65.4
22.918800000000026,10.0,90.6
32.983180000000054,10.0,-38.0
38.014879999999934,11.0,189.4
28.01378999999999,11.0,-1078.9
18.01232999999998,11.0,786.8
8.00984999999999,11.0,680.5
0.9980300000000142,12.0,-111.7
10.998660000000058,12.0,-319.8
21.011370000000014,12.0,-285.9
31.00563000000001,12.0,54.9
39.992799999999974,13.0,-285.9
29.99086999999994,13.0,-398.5
19.988829999999975,13.0,403.8
9.985399999999967,13.0,386.9
-0.12640000000006069,13.0,514.8
9.425670000000075,14.0,-189.8
19.08108000000002,14.0,-303.9
29.148960000000024,14.0,-199.8
39.50873000000005,14.0,-928.2
31.671159999999947,15.0,249.1
21.606009999999944,15.0,262.7
