x,y,By
2.8735100000000005,0.0,2404.9
12.73935,0.0,2417.7
22.855880000000003,0.0,2413.7
33.22846,0.0,1797.2
38.29129999999999,1.0,-1820.2
28.29432,1.0,1528.9
18.291299999999993,1.0,1776.2
8.289749999999998,1.0,2284.4
0.7127700000000026,2.0,487.0
10.717160000000003,2.0,-1195.3
20.718450000000015,2.0,2316.2
30.754780000000004,2.0,2365.5
40.72912000000001,2.0,-841.0
30.268449999999998,3.0,671.2
20.266119999999983,3.0,2326.7
10.204639999999987,3.0,1785.7
0.2013499999999766,3.0,2154.1
8.799360000000007,4.0,-1079.9
18.80467000000003,4.0,2060.9
28.810900000000004,4.0,2085.4
38.81124,4.0,538.0
32.094069999999974,5.0,-38.1
22.02253999999998,5.0,2455.6
11.874809999999965,5.0,1069.4
2.1368199999999717,5.0,2450.5
7.0350200000000385,6.0,-272.1
17.01657000000001,6.0,1094.7
26.91600000000001,6.0,1934.3
36.928410000000014,6.0,1176.9
33.94440999999999,7.0,-165.8
23.76190999999997,7.0,2474.4
13.970719999999961,7.0,1112.0
3.8097899999999782,7.0,2113.4
5.109980000000007,8.0,1012.1
14.91461000000001,8.0,325.9
24.897510000000054,8.0,1357.0
34.90066000000006,8.0,815.6
36.097649999999945,9.0,48.3
26.09543999999998,9.0,2156.3
16.091939999999934,9.0,1423.1
6.088079999999948,9.0,1269.3
2.914280000000069,10.0,1987.3
12.942450000000001,10.0,142.4
22.918800000000026,10.0,404.6
32.983180000000054,10.0,-134.2
38.014879999999934,11.0,254.2
28.01378999999999,11.0,1251.5
18.01232999999998,11.0,1377.6
8.00984999999999,11.0,154.3
0.9980300000000142,12.0,1512.4
10.998660000000058,12.0,336.7
21.011370000000014,12.0,4.0
31.00563000000001,12.0,-1100.2
39.992799999999974,13.0,112.4
29.99086999999994,13.0,489.5
19.988829999999975,13.0,1075.3
9.985399999999967,13.0,-246.4
-0.12640000000006069,13.0,445.5
9.425670000000075,14.0,361.9
19.08108000000002,14.0,167.7
29.148960000000024,14.0,-1490.9
39.50873000000005,14.0,-313.6
31.671159999999947,15.0,130.3
21.606009999999944,15.0,211.5
11.916299999999982,15.0,-631.1
1.9131899999998723,15.0,-850.3
