time;Bx;By;Bz;BT
128,330536;1889,20;2366,30;39,10;3028,20
129,337320;1701,90;-171,10;-1964,10;2604,50
130,331723;16,70;-915,80;-1270,60;1566,33
131,331578;-13,70;-702,50;-1142,30;1341,10
132,333327;1404,10;-211,70;-1820,70;2308,95
133,332730;1955,20;2353,90;42,50;3060,30
134,333291;-2225,60;1559,20;86,80;2718,81
135,344262;-1849,50;108,60;-415,50;1898,71
136,336626;-637,50;2470,50;-10,70;2551,45
137,352515;2300,60;1048,30;-1288,60;2837,64
138,369135;458,50;-551,90;-1425,40;1595,80
139,373129;-29,00;-398,70;-890,60;976,20
140,349301;973,60;-111,20;-1467,50;1764,60
141,389388;1450,60;2101,50;-305,80;2571,78
142,335903;-1567,00;2124,70;645,50;2717,81
143,336096;-1306,90;-328,80;-557,30;1458,31
144,337280;-1456,50;1969,60;726,80;2555,18
145,337052;1364,70;1963,00;-158,90;2396,04
146,337085;939,90;46,70;-1296,50;1602,03
147,337357;0,60;-300,30;-821,30;874,48
148,337598;625,70;-51,50;-1106,80;1272,46
149,337945;1369,50;1408,90;-446,60;2014,94
150,338501;-690,60;2097,80;767,00;2337,94
151,339063;-1493,90;134,90;-215,30;1515,35
152,339103;-1531,20;1096,40;502,90;1949,25
153,339086;492,50;2047,80;642,10;2201,89
154,339567;1134,80;645,30;-798,10;1530,08
155,339771;265,10;-118,50;-853,30;901,36
156,341092;422,40;11,70;-812,90;916,17
157,340747;1131,90;943,60;-431,10;1535,39
158,355962;-14,30;1914,00;891,30;2111,40
159,341121;-1433,10;644,40;274,90;1595,18
160,345023;-1286,60;423,20;156,50;1363,43
161,354064;-278,30;1711,20;962,60;1982,99
162,350820;1038,60;1080,40;-132,20;1504,47
163,366422;503,90;124,90;-716,30;884,65
164,373670;293,80;49,90;-587,70;658,94
165,353745;876,00;639,20;-369,30;1145,57
166,384507;342,80;1554,50;767,20;1767,08
167,344029;-1117,60;940,30;636,80;1593,33
168,343911;-935,40;68,60;-96,60;942,87
169,344203;-704,20;1193,10;875,50;1638,87
170,344768;676,00;1238,20;446,20;1479,60
171,344924;662,20;386,00;-437,70;882,66
172,345216;293,70;87,60;-515,90;600,07
173,345623;809,10;650,20;-237,50;1064,80
174,346048;294,50;1409,20;779,00;1636,89
175,347078;-1019,90;837,40;616,10;1456,37
176,346589;-656,20;-168,20;-324,60;751,17
177,351001;39,90;-234,50;-327,80;405,01
178,347452;159,80;-48,30;-90,00;189,65
179,355689;104,30;49,80;19,30;117,18
180,350637;56,50;83,30;53,20;113,85
181,353071;34,30;90,90;59,00;113,67
182,351269;34,60;90,90;56,80;112,63
